,Unnamed: 0,Collection,Ncells,Timepoint,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume,Architecture_LocalSubstrateArea_max,Architecture_LocalSubstrateArea_mean,Architecture_LocalSubstrateArea_mean_biovolume,Architecture_LocalSubstrateArea_median,Architecture_LocalSubstrateArea_min,Architecture_LocalSubstrateArea_p25,Architecture_LocalSubstrateArea_p75,Architecture_LocalSubstrateArea_std,Architecture_LocalSubstrateArea_std_biovolume,Biofilm_SubstrateArea,Biofilm_SubstratumCoverage
0,1,Livestock,1504.0,06-Jan-2021 15:08:20,0.12114,0.089896,0.7421,48029.1536,0.67029,25.8057,213.0287,,,66219.0028,1.3787,287.0628,1434,375.5313,666.081,313.0,1,114.0,599.5,298.8397,257.8346,0.70562,0.11989,0.2508,0.076875,0.000125,0.022187,0.17775,0.12517,0.14694,3558,822.7879,495.8262,757.5,1,377.5,1150.5,575.2304,381.6133,96.2643,60.7565,67.3559,60.363,43.5075,54.6014,66.3857,8.7498,7.7515,265.8021,44.0286,93.1042,28.4872,0.047086,8.0282,65.9443,46.4991,55.1999,,,,,,,,,,,
1,1,Livestock,1639.0,06-Jan-2021 15:08:20,0.095472,0.091791,0.96144,47221.904,0.275,22.9543,240.43,,,53739.5351,1.138,250.0719,1288,307.9219,553.8388,258.0,1,88.0,475.0,251.1639,248.4217,0.58088,0.088901,0.18315,0.06125,0.000125,0.016,0.13209,0.090997,0.11255,3311,882.1013,635.0154,830.0,1,413.25,1244.75,577.457,420.715,54.5134,33.7221,37.3454,33.1716,24.1263,30.0418,36.8569,5.1393,4.9147,218.81,32.788,68.38,21.801,0.047086,5.8387,49.1934,34.1717,42.6693,,,,,,,,,,,
2,1,Livestock,1547.0,06-Jan-2021 15:08:20,0.10393,0.10696,1.0291,42892.7601,0.23619,24.6388,237.0717,,,52794.2308,1.2308,230.3639,1179,302.8209,532.5854,256.0,1,97.25,459.25,236.3841,222.0623,0.6605,0.093436,0.19595,0.060875,0.000125,0.017563,0.13887,0.097673,0.12388,3094,836.1028,568.0084,784.0,1,389.25,1188.75,554.4018,403.9261,123.3538,73.3659,81.6559,72.8084,52.0967,65.2269,81.0248,10.7812,9.7768,248.804,34.1268,72.5378,22.1776,0.047086,6.4037,50.4765,36.2173,46.8327,,,,,,,,,,,
3,1,Livestock,1517.0,06-Jan-2021 15:08:19,0.086371,0.082072,0.95023,45021.4125,0.31156,20.158,233.388,,,53858.9931,1.1963,245.6127,1277,333.9967,548.0603,310.0,1,127.0,502.0,242.3722,227.1947,0.58688,0.09702,0.18147,0.075125,0.000125,0.025125,0.14075,0.09064,0.109,2818,813.5953,632.5144,775.0,1,380.75,1158.25,530.8231,436.6046,116.4769,81.3533,88.7581,81.1204,59.0374,73.4151,88.5472,10.5018,8.895,221.0701,35.5036,67.1172,27.4984,0.047086,9.123,51.6772,33.5132,40.8018,,,,,,,,,,,
4,1,Livestock,1364.0,06-Jan-2021 15:08:19,0.09542,0.080497,0.84361,45405.1215,0.53696,21.0726,220.84,,,47949.9933,1.056,261.7805,1422,336.9971,682.8601,236.0,1,68.0,556.5,312.6784,297.5523,0.68837,0.096409,0.22376,0.052375,0.000125,0.012375,0.1471,0.11089,0.13498,3667,724.9809,403.3415,685.5,1,341.5,1064.5,471.9132,322.7802,103.6121,71.3279,79.6725,71.2161,52.2021,64.1183,77.909,9.7954,8.4606,259.3042,35.154,82.5893,18.9287,0.047086,4.4497,53.9844,40.8505,50.3705,,,,,,,,,,,
5,1,Livestock,1696.0,06-Jan-2021 15:08:19,0.11469,0.10488,0.91448,41248.9109,0.40464,25.1341,219.1531,,,62377.2795,1.5122,239.6487,1238,328.2335,602.2558,267.5,1,87.0,512.0,275.9547,258.2309,0.55863,0.1007,0.21159,0.064375,0.000125,0.016563,0.15756,0.10584,0.1208,4095,919.7777,776.6338,858.5,1,428.5,1283.5,616.91,435.804,116.9681,78.4989,87.9019,77.5553,57.0761,70.5404,85.8569,11.2502,10.1581,210.4286,36.7791,78.1399,23.0958,0.047086,5.98,56.5035,39.0142,45.2493,,,,,,,,,,,
0,1,Livestock,2006.0,13-Jan-2021 15:15:25,0.20116,0.168,0.83517,46735.5199,0.54999,44.8437,222.9293,,,35858.3754,0.76726,266.9254,1110,200.2682,498.8739,105.5,1,27.0,297.0,224.9819,250.4461,0.43775,0.048763,0.13916,0.0185,0.000125,0.003875,0.067375,0.066448,0.090587,4649,1245.4751,507.5459,1023.5,1,503.0,1729.0,990.3478,492.5013,91.0878,59.0099,66.9473,58.1591,45.0021,51.9751,64.9777,8.4554,7.0968,164.8962,17.8756,51.5297,6.6392,0.047086,1.4126,24.3436,24.5334,33.8115,,,,,,,,,,,
1,1,Livestock,2073.0,13-Jan-2021 15:15:25,0.17485,0.19121,1.0936,43398.9589,0.40478,42.9811,245.8234,,,34333.6272,0.79112,224.7844,1068,186.8616,456.5359,115.0,1,23.75,288.25,206.1077,245.696,0.38425,0.045104,0.12586,0.020875,0.000125,0.0035,0.06375,0.060124,0.085635,4719,1309.6175,578.6666,1046.0,1,519.75,1899.25,1037.0199,600.7649,94.6419,60.1824,68.1935,59.5073,46.0252,53.2114,65.847,8.6768,7.4598,144.7433,16.5623,46.8462,7.628,0.047086,1.2713,23.0723,22.4012,32.3064,,,,,,,,,,,
2,1,Livestock,1869.0,13-Jan-2021 15:15:25,0.17147,0.26411,1.5402,49832.9374,0.76057,53.6051,312.6127,,,34813.2952,0.6986,202.9645,980,204.7651,431.914,147.0,1,36.0,321.0,198.1703,209.4064,0.4175,0.051104,0.12192,0.02925,0.000125,0.00525,0.076656,0.060241,0.078261,6213,1236.7282,566.8483,947.0,1,473.75,1556.75,1110.7166,499.3799,84.9224,53.8114,60.3567,53.3197,40.0017,47.1628,59.2976,8.1715,6.6679,157.2682,18.6267,44.9847,10.3119,0.047086,1.9305,27.5455,22.1636,29.2624,,,,,,,,,,,
3,1,Livestock,3637.0,13-Jan-2021 15:15:24,0.32299,0.35317,1.0934,46874.2314,0.40446,82.5108,255.4565,,,11636.8114,0.24826,233.6293,573,54.4064,133.9701,33.0,1,11.0,75.0,62.3795,100.5088,0.13458,0.0087866,0.023396,0.004875,0.000125,0.0015,0.011625,0.011395,0.021136,8772,2487.284,1660.3095,1948.0,1,926.75,3577.25,1986.9599,1677.3469,71.9927,40.2995,43.4894,39.6816,33.0651,36.8568,42.7931,4.6455,4.9793,48.8285,3.1996,8.5966,1.7422,0.047086,0.56504,4.2849,4.1561,7.7074,,,,,,,,,,,
4,1,Livestock,3384.0,13-Jan-2021 15:15:24,0.36466,0.25133,0.68922,47738.4482,0.72455,74.6364,204.6767,,,13411.8704,0.28094,296.9682,820,65.5538,187.5839,35.0,1,12.0,87.5,83.8314,151.0227,0.2525,0.010837,0.034591,0.005125,0.000125,0.001625,0.0135,0.016091,0.035226,7435,2272.255,1287.435,1803.5,1,856.5,3308.5,1798.4041,1403.3451,70.3506,40.6363,44.2158,40.0311,33.3865,37.2557,43.2233,4.5647,4.9305,95.1143,3.9633,12.7699,1.8835,0.047086,0.56504,4.9911,5.9088,13.0625,,,,,,,,,,,
5,1,Livestock,3116.0,13-Jan-2021 15:15:24,0.23478,0.27814,1.1847,42863.308,0.53618,59.6988,254.2728,,,9995.3363,0.23319,214.6327,750,54.5651,145.1789,31.0,1,11.0,72.0,66.3517,120.1654,0.18613,0.0087613,0.025499,0.0045,0.000125,0.001375,0.011312,0.012084,0.026701,6073,2015.7953,1379.9551,1669.5,1,797.5,2940.0,1499.3842,1312.5885,79.6736,38.7048,42.1425,38.0682,32.0724,35.5078,41.0096,4.3915,5.514,70.1115,3.2077,9.4593,1.6009,0.047086,0.51795,4.0023,4.4788,10.0475,,,,,,,,,,,
0,1,Livestock,1252.0,13-Jan-2021 18:53:56,0.12397,0.12198,0.98392,42802.9467,0.1786,28.7078,231.5647,,,45813.7355,1.0703,235.3485,1416,366.2548,707.769,277.5,1,65.0,612.5,330.63,294.961,0.59333,0.10019,0.21382,0.060937,0.000125,0.011778,0.16269,0.10723,0.11784,4383,734.4113,440.0785,641.5,1,319.5,1060.5,545.7325,328.2271,92.4913,57.4627,64.4003,57.0748,40.162,49.9301,63.967,9.2497,7.3803,209.4398,36.5924,78.7839,22.4602,0.047086,4.1436,60.1998,39.308,43.1809,,,,,,,,,,,
1,1,Livestock,16815.0,13-Jan-2021 18:53:56,1.0845,0.86405,0.79675,46357.544,0.60431,235.1767,216.858,,,265181.1304,10.8767,272.1794,301,81.9597,115.3284,83.0,0,28.0,124.0,58.0297,51.0738,1.0,0.34525,0.67631,0.204,0.001,0.046,0.624,0.33909,0.28914,188140,19598.8059,9755.7606,9524.0,1,4412.25,20502.75,28137.2222,18936.1422,70.1241,8.9381,15.6045,4.6068,3.0198,3.6504,10.5473,8.9575,11.3742,47.0863,15.7705,31.6353,8.9464,0.047086,2.0718,28.2989,15.8181,13.7375,100.0,11.1195,26.861,0.0,0.0,0.0,0.0,28.8459,41.5311,24380.7197,0.71325
2,1,Livestock,19048.0,13-Jan-2021 18:53:56,0.78216,0.69759,0.89188,45397.2884,0.45227,177.5907,227.0508,,,283878.9547,11.8295,254.5757,320,80.4234,115.7802,79.0,0,27.0,123.0,57.5533,50.1939,1.0,0.32523,0.65721,0.187,0.001,0.042,0.574,0.32955,0.29266,164357,30873.6827,15306.7706,11435.5,1,4975.5,51550.5,35466.2581,26331.1683,75.3456,8.2748,14.85,4.1712,2.9178,3.4119,9.5105,8.5141,11.1755,47.0863,14.9033,30.7573,8.3107,0.047086,1.8835,26.18,15.3717,13.8793,100.0,9.6617,24.4554,0.0,0.0,0.0,0.0,26.9746,40.112,23997.487,0.70204
3,1,Livestock,1441.0,13-Jan-2021 18:53:56,0.12046,0.096436,0.80059,46419.3012,0.59921,26.2022,217.5252,,,52086.9476,1.1221,271.7059,1621,354.4407,709.0593,262.0,1,73.0,561.0,325.7579,325.6582,0.63187,0.098864,0.22474,0.056375,0.000125,0.013219,0.14656,0.11193,0.13814,3541,792.5593,475.4394,738.0,1,363.75,1148.25,526.9552,362.437,83.1222,52.5213,59.3327,51.7221,37.0198,46.3395,57.5853,8.5485,8.0718,238.0212,36.1464,82.9437,20.6709,0.047086,4.8852,54.1728,41.1428,51.5822,,,,,,,,,,,
