Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true
1167,combinatoric,gpuRandomForestImputer_StandardScaler,0.22107014569134845,0.12408566200671396,0.2872739638916036,0.1866692492797427,0.2858552026372277,-0.3778760375740535,[0.57372106 0.59861705 0.57372106 ... 0.69690853 0.72051298 0.72051298],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]"
1202,combinatoric,gpuRandomForestImputer_StandardScaler,0.15801940489631808,0.1857708654505768,0.5364698559532095,2.02062011604231,0.2135739163610938,0.24337075749072834,[0.7955168  0.7905064  0.79500127 ... 0.79205903 0.79215798 0.79215798],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]"
1218,combinatoric,gpuRandomForestImputer_StandardScaler,0.14670474729305857,0.1681536635899956,0.8735400013066799,2.5696251608524845,0.218413579890598,0.35824577853384465,[0.67797297 0.67797297 0.67797297 ... 0.68948112 0.69699055 0.69699055],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]"
1219,combinatoric,gpuRandomForestImputer_StandardScaler,0.12151896910175693,0.15899593348407803,88340827513694.89,83.11148623426058,0.18740093085340315,0.45159230080610047,[0.50271112 0.50271112 0.50271112 ... 0.71025926 0.700316   0.700316  ],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]"
1234,combinatoric,gpuRandomForestImputer_StandardScaler,0.23922778502035255,0.17697305214208753,87562738095878.75,106.55370345178247,0.35074147332244815,-0.533842884859322,[0.66812497 0.66812497 0.66812497 ... 0.53154926 0.52685096 0.52685096],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]"
1273,combinatoric,gpuRandomForestImputer_StandardScaler,0.14074621906960505,0.10339837852668836,0.22496757261809638,0.2741552469746464,0.20566159790697372,0.20583428341509535,[0.65041985 0.65041985 0.65041985 ... 0.61608742 0.61903339 0.61903339],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]"
1298,combinatoric,gpuRandomForestImputer_StandardScaler,0.1305120717546227,0.12848147906872923,0.3213394955329075,0.33984572575643607,0.17824685899977594,0.39776113310389727,[0.56092734 0.55856095 0.56044909 ... 0.52627816 0.52706209 0.52706209],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]"
1339,combinatoric,gpuRandomForestImputer_StandardScaler,0.21659603427395294,0.2712314312526167,0.913937256969742,2.0598222947764837,0.2870553337916507,-0.05033587533208461,[0.91401648 0.91401648 0.91401648 ... 0.59336964 0.59486095 0.59486095],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]"
11285,combinatoric,gpuRandomForestImputer_StandardScaler,0.10682461410915374,0.09308832607505468,0.1414371186064298,0.23748142750293158,0.1350371842378398,0.6347771063367675,[0.63490012 0.63490012 0.63709714 ... 0.84018313 0.83091118 0.83091118],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]"
11457,combinatoric,gpuRandomForestImputer_StandardScaler,0.11559018571486383,0.15527943357244087,0.15359458206881052,0.6024619325553646,0.15636986525290666,0.4373988278577128,[0.86487573 0.86487573 0.86487573 ... 0.81406092 0.80621185 0.80621185],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]"
12001,combinatoric,gpuRandomForestImputer_StandardScaler,0.15161601795065938,0.09478800175452108,0.23374832962642306,0.7725869493721071,0.2155732823046902,-0.12207429264860603,[0.68628456 0.68628456 0.68995015 ... 0.88355742 0.88445744 0.88445744],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]"
12048,combinatoric,gpuRandomForestImputer_StandardScaler,0.11265614861187415,0.14681109192790015,0.30715758413997224,2.352092907206558,0.1480987636075598,0.6365138453955891,[0.78542026 0.78542026 0.79190089 ... 0.72506201 0.72506201 0.72506201],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]"
12701,combinatoric,gpuRandomForestImputer_StandardScaler,0.15934568514866052,0.14164462214612653,0.46593913277781207,0.669536196794549,0.2264425120300597,0.19457025654881444,[0.56302875 0.56302875 0.56302875 ... 0.84777893 0.85367189 0.85367189],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]"
12832,combinatoric,gpuRandomForestImputer_StandardScaler,0.11445464868768905,0.1653663353077326,0.3081259524354502,1.013941753555724,0.16581653086974,0.5163802800414679,[0.78226711 0.78226711 0.78226711 ... 0.84090298 0.84075348 0.84075348],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]"
B1,combinatoric,gpuRandomForestImputer_StandardScaler,0.10304956409433587,0.1099219102200215,0.15457767421833982,0.3308906889956554,0.14617698549930272,0.503197478468672,[0.75185837 0.75185837 0.75185837 ... 0.70739102 0.70608552 0.70608552],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]"
B8,combinatoric,gpuRandomForestImputer_StandardScaler,0.15768625940070916,0.09287576918190356,45976269664501.41,102.31483195781223,0.21223223333707608,0.28701950858552894,[0.64367731 0.64367731 0.64367731 ... 0.6552189  0.65796476 0.65796476],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]"
B18,combinatoric,gpuRandomForestImputer_StandardScaler,0.15006692596955631,0.11683371300477689,0.3682938977572907,0.4583391181712033,0.21257864040946173,0.1849908720487743,[0.64259224 0.64259224 0.64173035 ... 0.5187962  0.52192903 0.52192903],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]"
C5,combinatoric,gpuRandomForestImputer_StandardScaler,0.1245653981019954,0.12431534304894193,0.2735148634513974,0.45256967842253576,0.16564873916160375,0.4091171756797243,[0.65257237 0.65257237 0.65687607 ... 0.76918122 0.77139794 0.77139794],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]"
E.ce,combinatoric,gpuRandomForestImputer_StandardScaler,0.0985688538866885,0.13171318637300708,0.16255524203192798,0.5776384327697504,0.13655219518266762,0.4857775898316754,[0.8576633  0.8576633  0.8576633  ... 0.40086964 0.40086964 0.40086964],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]"
E.co,combinatoric,gpuRandomForestImputer_StandardScaler,0.17816685964078952,0.2644485166447364,0.5082325026664071,1.4633517790943154,0.24218411685703842,0.2802285941091269,[0.9209325  0.9209325  0.9209325  ... 0.33253376 0.33362955 0.33010717],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]"
S.en,combinatoric,gpuRandomForestImputer_StandardScaler,0.18345630367611765,0.15703686111972295,38428693110385.086,55.458639785070865,0.24004968032373006,0.14193374341911313,[0.44798485 0.42984713 0.44798485 ... 0.20002487 0.19890491 0.20668406],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]"
S.au,combinatoric,gpuRandomForestImputer_StandardScaler,0.12642896923196542,0.1933564629246911,0.18281072933142567,0.5068205983952384,0.17104547350023722,0.2998100107991837,[0.96433582 0.96840889 0.96451663 ... 0.46753987 0.48612805 0.48612805],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]"
1167_x_E.ce,combinatoric,gpuRandomForestImputer_StandardScaler,0.08633206001599071,0.11662338386604862,0.11447482562403637,0.0894117193532843,0.10132558812923056,0.5999579757520698,[0.56572408 0.56572408 0.56572408 ... 0.84699872 0.84699872 0.84699872],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]"
1167_x_E.co,combinatoric,gpuRandomForestImputer_StandardScaler,0.12911722090728117,0.21046660626299812,0.21349779503659716,0.12612883051659263,0.15925750027390853,0.7338039174069831,[0.42203445 0.42203445 0.41432576 ... 0.74050117 0.72142316 0.72142316],"[[0.29228146]
 [0.29614315]
 [0.29228146]
 ...
 [0.99785545]
 [0.98518001]
 [0.98871093]]"
1167_x_S.en,combinatoric,gpuRandomForestImputer_StandardScaler,0.2290497329717944,0.208289095293213,0.27492718424644225,0.1533525721075087,0.2472040653276888,-0.03791027212118303,[0.39553032 0.40071695 0.39553032 ... 0.68888439 0.69923523 0.68888439],"[[0.72965397]
 [0.53297676]
 [0.72965397]
 ...
 [0.99904466]
 [0.99774927]
 [1.        ]]"
1167_x_S.au,combinatoric,gpuRandomForestImputer_StandardScaler,0.1456058545401131,0.20555706514191682,0.25527184987490825,0.4558195602517884,0.18014874505119538,0.3281496189382799,[0.9327441  0.94754742 0.94116362 ... 0.73733936 0.73970924 0.73970924],"[[0.93482886]
 [0.83673575]
 [0.6058648 ]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]"
1202_x_E.ce,combinatoric,gpuRandomForestImputer_StandardScaler,0.121853409044865,0.16155140989691674,0.43649891399102975,0.9527317240374424,0.18156529027713247,0.3492286609190386,[0.63671228 0.63671228 0.63671228 ... 0.76589376 0.77483425 0.78031169],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.62507124]
 [0.62507124]
 [0.71542897]]"
1202_x_E.co,combinatoric,gpuRandomForestImputer_StandardScaler,0.09369039491126939,0.19144871609972508,0.20462101369229735,0.17872672502676712,0.11366546732291093,0.6475056443233151,[0.31395227 0.29094227 0.31054839 ... 0.71847617 0.69583608 0.69539631],"[[0.43239395]
 [0.43239395]
 [0.43239395]
 ...
 [0.39794357]
 [0.48052866]
 [0.38356225]]"
1202_x_S.en,combinatoric,gpuRandomForestImputer_StandardScaler,0.19854637320940896,0.1579172899597508,1.0289064138181223,1.3188670775090596,0.23496608810084574,-0.3125873523366247,[0.33342635 0.33493125 0.3351251  ... 0.65421434 0.65489889 0.65489889],"[[0.30539326]
 [0.36968642]
 [0.06283783]
 ...
 [0.34203753]
 [0.77984246]
 [0.24694186]]"
1202_x_S.au,combinatoric,gpuRandomForestImputer_StandardScaler,0.16530166610659214,0.13596528674955471,0.20162701816082793,0.25486275654502766,0.22039146038157306,-0.6959714858265613,[0.89254264 0.86398849 0.87649164 ... 0.58724361 0.58582146 0.58582146],"[[0.64477475]
 [0.64477475]
 [0.83061693]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]"
1218_x_E.ce,combinatoric,gpuRandomForestImputer_StandardScaler,0.07965584047458421,0.09397556597346472,0.14361599110476708,0.15941432833716482,0.10850482173982814,0.5380753184352061,[0.64335508 0.64209107 0.63380372 ... 0.64887186 0.6479526  0.64887186],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.70814178]
 [0.49685288]
 [0.70814178]]"
1218_x_E.co,combinatoric,gpuRandomForestImputer_StandardScaler,0.10912188113849455,0.24017153158336102,0.6022888183870884,0.9047373181514515,0.15060016540256177,0.7782655272152617,[0.35514959 0.35514959 0.36374298 ... 0.36889032 0.34546698 0.34546698],"[[0.39638506]
 [0.39638506]
 [0.31444566]
 ...
 [0.4988302 ]
 [0.21605889]
 [0.21605889]]"
1218_x_S.en,combinatoric,gpuRandomForestImputer_StandardScaler,0.17364020158006582,0.1379897021497259,1.6293318145096165,2.417804299266859,0.21655894114294125,0.3549476609908233,[0.4252438  0.42774636 0.4252438  ... 0.46275843 0.46275843 0.46275843],"[[0.26105455]
 [0.39324875]
 [0.05213942]
 ...
 [0.43190293]
 [0.07405875]
 [0.07405875]]"
1218_x_S.au,combinatoric,gpuRandomForestImputer_StandardScaler,0.07875006994659926,0.12280076388676334,0.11615777195902151,0.24433231114206672,0.097278857256494,0.5742795824460749,[0.89792275 0.90047998 0.89845989 ... 0.62137765 0.61956433 0.61956433],"[[0.94207013]
 [0.94207013]
 [0.9439279 ]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]"
1219_x_E.ce,combinatoric,gpuRandomForestImputer_StandardScaler,0.12366900511342968,0.15940201313142396,0.3743219987269518,0.4133670287066906,0.167898148420567,0.6086943847487247,[0.51634584 0.51634584 0.51634584 ... 0.65606675 0.65394348 0.65606675],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.70538468]
 [0.70538468]
 [0.70538468]]"
1219_x_E.co,combinatoric,gpuRandomForestImputer_StandardScaler,0.07216473642563445,0.23163934667489558,0.2570892051957364,0.3909904701620721,0.1063099780681081,0.852232529138103,[0.37731643 0.37731643 0.37731643 ... 0.52744568 0.479003   0.479003  ],"[[0.39525584]
 [0.43337528]
 [0.43337528]
 ...
 [0.40858063]
 [0.16723032]
 [0.40858063]]"
1219_x_S.en,combinatoric,gpuRandomForestImputer_StandardScaler,0.1791877223366867,0.12844886231365085,350185989781157.5,117.49597164517063,0.2662131929584777,-0.41730468064219695,[0.37422047 0.37848211 0.37422047 ... 0.37892362 0.44458721 0.44458721],"[[0.20122971]
 [0.56709756]
 [0.20122971]
 ...
 [0.56174631]
 [0.56174631]
 [0.37172853]]"
1219_x_S.au,combinatoric,gpuRandomForestImputer_StandardScaler,0.05895415336177132,0.14888944015899808,0.09742466373123224,0.3232293897227591,0.0711541359680768,0.8348088932232873,[0.89384221 0.88221974 0.89250128 ... 0.59460013 0.61053772 0.59460013],"[[0.94551738]
 [0.92080653]
 [0.94551738]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]"
1234_x_E.ce,combinatoric,gpuRandomForestImputer_StandardScaler,0.08164373044321538,0.11049742746417651,0.12948045393465724,0.16258967756838114,0.11132524983363422,0.6505052437716651,[0.61511768 0.61511768 0.61511768 ... 0.4209419  0.4209419  0.4209419 ],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.38589281]
 [0.38589281]
 [0.72069034]]"
1234_x_E.co,combinatoric,gpuRandomForestImputer_StandardScaler,0.06692252003125146,0.1803848908822473,0.2601473634225254,0.902431042420425,0.09055745445594164,0.9027819787922925,[0.40573936 0.40573936 0.40573936 ... 0.34326044 0.33801533 0.33801533],"[[0.37533383]
 [0.42029501]
 [0.37533383]
 ...
 [0.23941059]
 [0.23941059]
 [0.20836221]]"
1234_x_S.en,combinatoric,gpuRandomForestImputer_StandardScaler,0.2454187857956748,0.1174065219060104,136205451169779.48,96.91969894030655,0.32220678920160495,-0.6999268620176133,[0.32053862 0.31867244 0.31811135 ... 0.35230074 0.33733191 0.35230074],"[[0.27277721]
 [0.51424479]
 [0.27277721]
 ...
 [0.        ]
 [0.        ]
 [0.        ]]"
1234_x_S.au,combinatoric,gpuRandomForestImputer_StandardScaler,0.11460687850003365,0.22162354466972212,0.3343604921281404,0.9523123147069192,0.15829288813470202,0.5561055659812446,[0.87726331 0.88089901 0.87771033 ... 0.59308147 0.59341281 0.59341281],"[[0.80384281]
 [0.90118178]
 [0.9146671 ]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]"
1273_x_E.ce,combinatoric,gpuRandomForestImputer_StandardScaler,0.09008108495100375,0.03329567894428368,0.12821639840888863,0.07835472101827719,0.11642269441296393,0.5278384459654445,[0.78661839 0.78661839 0.77705162 ... 0.81597686 0.81597686 0.81597686],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.97210151]
 [0.88825073]
 [0.91438627]]"
1273_x_E.co,combinatoric,gpuRandomForestImputer_StandardScaler,0.09115040441514359,0.1994908989205055,0.1761973367599049,0.18323185342245457,0.13684070242053295,0.6749154516460608,[0.45624317 0.45624317 0.45624317 ... 0.79278616 0.76401871 0.75164643],"[[0.44415041]
 [0.44415041]
 [0.36530147]
 ...
 [0.76102029]
 [0.62563646]
 [0.76102029]]"
1273_x_S.en,combinatoric,gpuRandomForestImputer_StandardScaler,0.15863412573869204,0.20663211110491292,0.3545225973657741,0.27796252592842574,0.22069046567918635,0.28505404935102274,[0.4551211  0.39966613 0.44345257 ... 0.77908263 0.79505694 0.79505694],"[[0.50859862]
 [0.44532886]
 [0.45565884]
 ...
 [0.23763899]
 [0.94403186]
 [0.98775245]]"
1273_x_S.au,combinatoric,gpuRandomForestImputer_StandardScaler,0.1891274640543441,0.09648256875231616,0.21776201672170653,0.16324230518387656,0.2307262040645811,-2.4644991677964954,[0.94490305 0.96034939 0.95095012 ... 0.63183551 0.63315555 0.63315555],"[[0.60095033]
 [0.93156845]
 [0.93156845]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]"
1298_x_E.ce,combinatoric,gpuRandomForestImputer_StandardScaler,0.09969189377380222,0.13794647078550346,0.17488584695041126,0.15557134991918828,0.11804962010550904,0.6516963752295467,[0.53846351 0.53846351 0.53846351 ... 0.60925415 0.60925415 0.60925415],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.69860234]
 [0.53338386]
 [0.72556523]]"
